2016-10-20 03:51:08.565 [error] <0.40.0>@gen_mod:validate_opts:334 unknown option 'mod_access' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
2016-10-29 06:45:30.562 [error] <0.42.0>@gen_mod:validate_opts:334 unknown option 'mod_access' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
2016-10-29 07:55:07.253 [error] <0.42.0>@gen_mod:validate_opts:334 unknown option 'mod_access' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
2016-10-29 11:55:34.166 [error] <0.42.0>@gen_mod:validate_opts:334 unknown option 'mod_access' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
2016-10-30 22:29:59.239 [error] <0.42.0>@gen_mod:validate_opts:334 unknown option 'mod_access' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
2016-10-31 09:28:05.791 [error] <0.42.0>@gen_mod:validate_opts:334 unknown option 'mod_access' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
2016-11-01 00:23:46.311 [error] <0.42.0>@gen_mod:validate_opts:334 unknown option 'mod_access' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
2016-11-02 05:54:57.861 [error] <0.42.0>@gen_mod:validate_opts:334 unknown option 'allow' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
2016-11-02 05:54:57.861 [error] <0.42.0>@gen_mod:validate_opts:334 unknown option 'mod_access' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
2016-11-04 02:05:48.882 [error] <0.42.0>@gen_mod:validate_opts:334 unknown option 'allow' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
2016-11-04 02:05:48.882 [error] <0.42.0>@gen_mod:validate_opts:334 unknown option 'mod_access' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
2016-11-04 03:58:17.660 [error] <0.42.0>@gen_mod:validate_opts:334 unknown option 'allow' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
2016-11-04 03:58:17.660 [error] <0.42.0>@gen_mod:validate_opts:334 unknown option 'mod_access' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
2016-11-04 06:48:05.687 [error] <0.42.0>@gen_mod:validate_opts:334 unknown option 'allow' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
2016-11-04 06:48:05.687 [error] <0.42.0>@gen_mod:validate_opts:334 unknown option 'mod_access' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
2016-11-04 07:17:01.696 [error] <0.42.0>@gen_mod:validate_opts:334 unknown option 'allow' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
2016-11-04 07:17:01.696 [error] <0.42.0>@gen_mod:validate_opts:334 unknown option 'mod_access' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
2016-11-04 23:23:35.029 [error] <0.42.0>@gen_mod:validate_opts:334 unknown option 'allow' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
2016-11-04 23:23:35.029 [error] <0.42.0>@gen_mod:validate_opts:334 unknown option 'mod_access' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
2016-11-05 10:17:13.845 [error] <0.42.0>@gen_mod:validate_opts:334 unknown option 'allow' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
2016-11-05 10:17:13.845 [error] <0.42.0>@gen_mod:validate_opts:334 unknown option 'mod_access' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
2016-11-07 05:29:55.225 [error] <0.42.0>@gen_mod:validate_opts:334 unknown option 'allow' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
2016-11-07 05:29:55.225 [error] <0.42.0>@gen_mod:validate_opts:334 unknown option 'mod_access' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
2016-11-07 07:48:18.957 [error] <0.42.0>@gen_mod:validate_opts:334 unknown option 'allow' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
2016-11-07 07:48:18.957 [error] <0.42.0>@gen_mod:validate_opts:334 unknown option 'mod_access' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
2016-11-08 06:42:07.337 [error] <0.40.0>@gen_mod:validate_opts:334 unknown option 'allow' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
2016-11-08 06:42:07.337 [error] <0.40.0>@gen_mod:validate_opts:334 unknown option 'mod_access' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
2016-11-08 11:06:10.154 [error] <0.42.0>@gen_mod:validate_opts:334 unknown option 'allow' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
2016-11-08 11:06:10.154 [error] <0.42.0>@gen_mod:validate_opts:334 unknown option 'mod_access' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
